level,control,student_count,awards_per_value,pell_value
4-year,Private not-for-profit,6543,24.2,84.9
2-year,Public,17770,9.2,84.9
2-year,Public,3211,13.2,84.8
4-year,Private not-for-profit,259,25.1,84.8
4-year,Private not-for-profit,4331,20.6,84.8
4-year,Private for-profit,492,20.9,84.7
4-year,Private for-profit,879,9.1,84.7
2-year,Public,12163,17.4,84.7
2-year,Public,13666,15.8,84.7
4-year,Private not-for-profit,5797,18.7,84.7
4-year,Private not-for-profit,1502,18.8,84.6
4-year,Private not-for-profit,977,24.8,84.6
4-year,Private not-for-profit,2888,25.2,84.5
4-year,Public,18739,20.7,84.4
4-year,Private not-for-profit,917,33.5,84.4
4-year,Public,7350,21.7,84.3
4-year,Public,7754,24.6,84.3
4-year,Public,16191,22,84.3
4-year,Public,20952,23.9,84.3
4-year,Public,15290,25.2,84.1
4-year,Public,12481,26,83.9
4-year,Public,20295,21.1,83.9
4-year,Public,33116,26.9,83.8
4-year,Public,12146,25.8,83.6
4-year,Public,30593,26.1,83.6
4-year,Public,19589,22.9,83.6
4-year,Public,33771,27.2,83.5
4-year,Public,26094,25.3,83.5
4-year,Public,25951,27.6,83.5
4-year,Public,26533,26.6,83.4
4-year,Public,23530,26.5,83.4
4-year,Public,28674,26.8,83.3
4-year,Public,18621,21.9,83.3
4-year,Public,23805,26.3,83.2
4-year,Public,19362,26.7,83.2
4-year,Public,15695,24.9,83.2
4-year,Private not-for-profit,762,22.2,83.2
2-year,Private for-profit,489,31.7,83.1
4-year,Private not-for-profit,995,19.9,83
4-year,Public,1045,14.7,83
2-year,Public,6620,10.2,83
2-year,Public,18508,12.5,82.9
2-year,Private not-for-profit,606,39.9,82.9
2-year,Public,21404,11,82.8
2-year,Public,4523,10.1,82.8
2-year,Public,13142,9,82.7
2-year,Public,19211,17.3,82.7
4-year,Private not-for-profit,6005,21.5,82.7
4-year,Private not-for-profit,85,60.2,82.6
4-year,Private not-for-profit,1944,23.1,82.6
4-year,Private not-for-profit,892,17.8,82.6
2-year,Public,12920,17.2,82.5
2-year,Public,26706,9.3,82.5
4-year,Private not-for-profit,1316,23.6,82.4
2-year,Public,10378,29.9,82.4
4-year,Private for-profit,462,16.6,82.3
4-year,Private not-for-profit,532,61.5,82.3
2-year,Public,2626,13.9,82.3
4-year,Private not-for-profit,314,17.5,82.2
2-year,Public,7693,5.5,82.2
2-year,Public,6865,14,82.1
2-year,Public,13949,7.5,82.1
2-year,Public,5697,12.2,82.1
2-year,Public,9256,15.8,82.1
2-year,Public,8859,13.4,81.9
2-year,Public,15881,11.2,81.8
2-year,Public,23261,8.3,81.8
2-year,Public,9259,11.2,81.7
4-year,Private for-profit,181,23.6,81.7
2-year,Public,20286,8.4,81.6
4-year,Private not-for-profit,1603,24,81.6
2-year,Public,36606,11.8,81.5
2-year,Public,23996,13.3,81.5
2-year,Private for-profit,419,37.3,81.4
2-year,Public,9211,8.6,81.4
4-year,Private for-profit,3459,48.1,81.4
4-year,Private for-profit,637,47,81.4
2-year,Private for-profit,214,59.3,81.3
2-year,Public,1782,15.7,81.3
2-year,Public,14814,10.3,81.3
2-year,Public,21344,8.8,81.3
4-year,Private not-for-profit,2586,31.9,81.2
2-year,Public,24301,12.4,81.1
2-year,Public,5834,10.6,81.1
2-year,Public,15744,4.8,81.1
2-year,Public,12717,16.4,81
2-year,Public,18618,15.2,80.9
2-year,Public,9439,14.2,80.9
4-year,Private not-for-profit,807,23.4,80.8
2-year,Private for-profit,1150,29.9,80.8
2-year,Private for-profit,1791,24.2,80.7
2-year,Private for-profit,1671,31.9,80.7
2-year,Private for-profit,1074,29.8,80.7
2-year,Private for-profit,1503,29.3,80.7
4-year,Private not-for-profit,888,16.4,80.6
4-year,Public,7767,19.7,80.6
4-year,Private not-for-profit,757,16.2,80.5
2-year,Public,7701,11.2,80.5
2-year,Public,13362,18.4,80.4
4-year,Private for-profit,1209,32.9,80.4
4-year,Private for-profit,534,43.9,80.4
4-year,Private for-profit,823,37.1,80.4
4-year,Private not-for-profit,112,23.8,80.3
2-year,Public,13807,6.9,80.3
4-year,Private not-for-profit,577,20.4,80.3
4-year,Private for-profit,1869,22.3,80.2
4-year,Private not-for-profit,5216,25.1,80.2
4-year,Private not-for-profit,514,15.6,80.2
2-year,Public,2426,10.3,80.1
2-year,Public,11362,9.2,80.1
2-year,Public,2494,18.3,80.1
4-year,Private not-for-profit,116,18.5,80.1
4-year,Private not-for-profit,2105,14.1,80
2-year,Public,24020,8.6,80
2-year,Public,10098,10.2,80
2-year,Public,20080,10.4,80
2-year,Public,7864,7.1,79.9
2-year,Public,13879,12,79.9
2-year,Public,18762,11.6,79.9
4-year,Private not-for-profit,1112,18.3,79.9
2-year,Public,19635,6.4,79.9
2-year,Public,8990,13.9,79.8
2-year,Public,8525,12.7,79.8
4-year,Private for-profit,1304,18.6,79.8
4-year,Private not-for-profit,6205,24.5,79.7
2-year,Private for-profit,594,33.5,79.7
2-year,Private for-profit,547,25.4,79.7
2-year,Private for-profit,1354,35.1,79.7
2-year,Private for-profit,896,28.5,79.7
2-year,Public,6077,6.6,79.7
4-year,Private not-for-profit,1033,11.9,79.5
2-year,Public,3729,13.2,79.5
4-year,Private not-for-profit,745,20.6,79.4
2-year,Public,10205,11.3,79.4
2-year,Public,5887,11.9,79.4
4-year,Private not-for-profit,985,28.7,79.3
2-year,Public,14537,12.9,79.3
2-year,Public,9130,11.2,79.3
2-year,Public,17084,12.5,79.3
2-year,Public,9519,9.1,79.3
2-year,Public,14206,20.3,79.2
2-year,Public,28481,10.8,79.2
4-year,Private not-for-profit,2625,28.2,79.2
2-year,Public,14170,18.5,79.2
4-year,Private for-profit,1204,29.2,79.1
2-year,Public,6308,18.2,79.1
2-year,Private for-profit,696,55.5,79.1
2-year,Private for-profit,747,48.7,79
4-year,Private for-profit,509,10.8,79
4-year,Private not-for-profit,10074,14.3,79
4-year,Private for-profit,375,14.3,79
4-year,Private not-for-profit,1213,24.5,78.9
4-year,Private not-for-profit,2128,21.7,78.9
2-year,Public,10310,8.3,78.9
2-year,Public,21886,13.1,78.9
4-year,Private not-for-profit,1032,21,78.8
2-year,Public,6939,17,78.8
4-year,Private not-for-profit,925,20.5,78.8
2-year,Private for-profit,895,17.9,78.8
4-year,Private not-for-profit,1645,21.8,78.7
4-year,Private not-for-profit,3877,17.3,78.7
2-year,Public,3253,12.6,78.7
2-year,Public,24665,19.4,78.7
2-year,Public,25268,13.7,78.6
4-year,Private not-for-profit,3538,24.6,78.6
4-year,Private not-for-profit,1081,25.1,78.6
4-year,Private for-profit,370,51.9,78.5
4-year,Private not-for-profit,2556,22.5,78.5
4-year,Private not-for-profit,1610,24.1,78.4
2-year,Public,3810,13.3,78.4
4-year,Private for-profit,571,14.5,78.3
2-year,Public,28598,21.2,78.3
4-year,Private not-for-profit,3607,22.1,78.2
2-year,Public,4938,13.5,78.2
2-year,Public,16548,9,78.2
2-year,Public,18165,17.8,78.2
2-year,Public,23509,10.4,78.2
2-year,Public,20871,17.7,78.1
2-year,Public,16310,8.8,78.1
2-year,Private for-profit,230,47.9,78
2-year,Public,24251,8.7,77.9
2-year,Public,11891,12,77.9
4-year,Public,27099,25.6,77.9
4-year,Private not-for-profit,5665,22.9,77.9
4-year,Private not-for-profit,478,17.1,77.9
4-year,Private not-for-profit,174,25.2,77.8
4-year,Public,26156,27,77.8
4-year,Private not-for-profit,6392,21.6,77.8
2-year,Public,17629,23.9,77.8
2-year,Private for-profit,1616,40.1,77.7
2-year,Private for-profit,642,40,77.6
4-year,Private not-for-profit,1047,22.1,77.6
2-year,Public,9446,9.9,77.6
4-year,Public,25862,25,77.6
2-year,Public,9377,11,77.5
4-year,Private for-profit,543,30.2,77.5
4-year,Private for-profit,661,17,77.5
4-year,Private for-profit,188,40.1,77.4
2-year,Public,19331,19,77.4
4-year,Private not-for-profit,5435,21,77.4
2-year,Public,29999,12.8,77.4
2-year,Public,22094,13.6,77.3
4-year,Private not-for-profit,990,23.4,77.3
2-year,Private for-profit,1199,48.1,77.3
2-year,Public,10720,14,77.3
2-year,Public,8479,12,77.1
2-year,Public,18374,17,77.1
4-year,Private not-for-profit,1024,33.8,77.1
2-year,Public,2533,13.6,77
2-year,Public,10067,10.5,77
2-year,Public,12329,11,77
4-year,Private not-for-profit,3055,21,77
2-year,Public,9583,16.7,77
4-year,Public,8391,23.7,77
2-year,Private for-profit,374,11.5,76.9
4-year,Private not-for-profit,2135,23.8,76.9
2-year,Private for-profit,898,24.1,76.9
2-year,Public,19591,8.2,76.8
4-year,Private not-for-profit,237,20.1,76.8
4-year,Private not-for-profit,18445,24.8,76.8
2-year,Public,5444,13.9,76.6
4-year,Private not-for-profit,366,18.3,76.6
4-year,Private not-for-profit,265,30.9,76.6
2-year,Private for-profit,2732,66.8,76.5
2-year,Private for-profit,753,27.2,76.5
2-year,Private for-profit,925,31.3,76.5
2-year,Public,12908,17.5,76.5
2-year,Public,11504,13.4,76.5
2-year,Public,6471,4.2,76.5
4-year,Private for-profit,8205,8.3,76.4
2-year,Public,3055,16.9,76.4
2-year,Public,10767,8.7,76.3
2-year,Public,9636,9.3,76.3
2-year,Private for-profit,1267,45.5,76.3
4-year,Private not-for-profit,1308,21.6,76.3
4-year,Private not-for-profit,1656,20.1,76.3
4-year,Private not-for-profit,1357,18,76.2
4-year,Private not-for-profit,131,10.1,76.2
2-year,Public,6874,11.2,76.2
4-year,Public,2284,20.4,76.2
2-year,Public,4955,16,76.2
2-year,Public,11621,14.4,76.1
2-year,Private for-profit,576,26.6,76.1
2-year,Private for-profit,389,48.5,76.1
4-year,Public,13010,20.6,76.1
4-year,Public,9220,19.3,76.1
2-year,Private for-profit,434,32.8,76.1
4-year,Public,26096,22.6,76
4-year,Private not-for-profit,4973,19.8,76
4-year,Private not-for-profit,2041,25.1,76
2-year,Private for-profit,847,21.5,76
4-year,Private for-profit,1794,21.4,76
4-year,Public,5893,16,76
2-year,Public,1138,17.7,75.9
4-year,Public,4291,17.4,75.9
2-year,Private for-profit,182,73.6,75.9
4-year,Public,23548,21.4,75.9
4-year,Private for-profit,1216,19.2,75.9
2-year,Public,7874,12.7,75.9
4-year,Private not-for-profit,497,13.8,75.8
2-year,Private for-profit,34,6.2,75.8
2-year,Public,10432,7.3,75.7
2-year,Private for-profit,1262,49.1,75.7
4-year,Private for-profit,438,23.1,75.6
4-year,Private not-for-profit,5517,23.5,75.5
4-year,Public,3984,18.2,75.5
2-year,Public,19619,12.1,75.5
2-year,Public,902,21.1,75.5
4-year,Public,9576,14.1,75.5
4-year,Public,22289,17,75.5
2-year,Public,1851,24.4,75.5
4-year,Private not-for-profit,383,30.5,75.5
4-year,Private for-profit,281,18,75.4
4-year,Private for-profit,258,19.5,75.4
4-year,Private not-for-profit,889,25.7,75.4
2-year,Public,1962,20.3,75.4
4-year,Public,9947,20.1,75.3
2-year,Public,1449,22,75.2
2-year,Private for-profit,371,54.5,75.2
2-year,Public,14634,11.6,75.2
2-year,Private for-profit,339,19.8,75.2
2-year,Public,6718,16,75.1
2-year,Public,8599,13.4,75.1
4-year,Private not-for-profit,5172,30.8,75
4-year,Private for-profit,739,21.7,75
4-year,Public,5207,16.7,75
2-year,Private for-profit,815,73.9,75
2-year,Private for-profit,536,41,75
2-year,Public,1791,28.1,74.9
4-year,Public,2193,19.9,74.9
4-year,Private not-for-profit,1278,29.7,74.9
2-year,Public,1715,15.8,74.8
4-year,Private for-profit,837,17.9,74.8
4-year,Private not-for-profit,2835,22.7,74.8
4-year,Public,9771,20.9,74.7
4-year,Private not-for-profit,1915,21.5,74.7
4-year,Public,18032,27.9,74.6
4-year,Private not-for-profit,3388,18.8,74.5
4-year,Public,5179,23.1,74.5
4-year,Private not-for-profit,3873,22.7,74.5
2-year,Public,4168,16.3,74.4
4-year,Private not-for-profit,5187,23,74.4
2-year,Public,5813,13.6,74.4
2-year,Public,7571,17.4,74.4
2-year,Public,7294,15.9,74.3
2-year,Public,2900,16.2,74.3
4-year,Private not-for-profit,866,20.6,74.3
2-year,Public,4749,16,74.3
4-year,Private not-for-profit,4864,19.6,74.3
2-year,Public,6556,13.1,74.3
2-year,Public,1549,16.7,74.3
4-year,Private for-profit,155,29.7,74.2
4-year,Private for-profit,7371,10.5,74.2
2-year,Public,1929,15.2,74.2
4-year,Private not-for-profit,6542,22.4,74.1
4-year,Private not-for-profit,4489,21.5,74.1
4-year,Private not-for-profit,1049,23.9,74.1
2-year,Public,8186,13.3,74.1
4-year,Private not-for-profit,827,23.8,74.1
4-year,Public,8257,22.2,74.1
4-year,Private not-for-profit,2301,23.7,74.1
2-year,Public,4547,13.9,74
4-year,Private not-for-profit,2906,24,74
4-year,Public,5492,18.4,74
4-year,Private not-for-profit,5430,18.8,73.9
2-year,Public,4429,19.9,73.9
2-year,Public,3031,18.3,73.9
2-year,Public,7030,12.4,73.8
4-year,Public,3892,14.1,73.8
4-year,Public,18487,22,73.8
4-year,Private not-for-profit,554,25.6,73.8
4-year,Private not-for-profit,1600,18,73.8
4-year,Private not-for-profit,8611,25.9,73.8
4-year,Private not-for-profit,7340,23.5,73.7
4-year,Private not-for-profit,3713,20.2,73.7
4-year,Private not-for-profit,323,20.9,73.7
4-year,Public,4712,16.5,73.7
4-year,Private not-for-profit,1077,20.7,73.7
4-year,Private not-for-profit,10357,25.6,73.6
4-year,Private not-for-profit,7636,25,73.6
4-year,Private not-for-profit,6974,17.7,73.6
2-year,Private for-profit,1373,1.9,73.6
4-year,Private for-profit,883,17.2,73.5
4-year,Private not-for-profit,1853,16,73.5
4-year,Private for-profit,1924,27.6,73.5
4-year,Private not-for-profit,507,25.2,73.5
4-year,Private not-for-profit,4341,26.9,73.5
4-year,Private not-for-profit,3724,14.7,73.5
4-year,Private not-for-profit,1785,24.2,73.5
4-year,Public,16711,25.1,73.5
4-year,Public,43883,20.7,73.4
2-year,Private for-profit,59,40.2,73.4
4-year,Private not-for-profit,294,33,73.3
4-year,Public,8162,21.6,73.3
4-year,Private not-for-profit,302,15.3,73.3
4-year,Public,51333,26.4,73.3
4-year,Public,2160,28.4,73.3
4-year,Private not-for-profit,495,18.2,73.2
4-year,Public,14865,27.7,73.1
4-year,Private for-profit,973,21.2,73.1
4-year,Private not-for-profit,2173,21.3,73.1
4-year,Public,15423,22.6,73.1
4-year,Private not-for-profit,862,11.8,73
4-year,Private not-for-profit,4679,19.7,73
4-year,Public,8930,14.1,73
4-year,Public,25790,25.4,73
4-year,Public,28134,26.6,73
4-year,Private not-for-profit,2839,22.8,72.9
4-year,Private not-for-profit,558,33.7,72.9
2-year,Private for-profit,630,24.2,72.9
2-year,Private for-profit,508,13.8,72.9
2-year,Private for-profit,454,14.1,72.9
4-year,Private not-for-profit,2160,38.2,72.9
4-year,Private not-for-profit,3257,15.9,72.9
4-year,Public,39142,22.2,72.9
2-year,Public,1139,21.8,72.8
4-year,Private not-for-profit,1517,12.5,72.7
4-year,Private for-profit,5818,27.8,72.7
4-year,Private not-for-profit,2416,20.6,72.7
4-year,Public,32528,27.8,72.7
4-year,Private for-profit,4330,25.9,72.7
4-year,Private for-profit,99,36.1,72.7
4-year,Public,33168,27.6,72.6
4-year,Private for-profit,1746,30.7,72.6
4-year,Private for-profit,18880,8.7,72.6
4-year,Public,6271,21.1,72.6
2-year,Public,26590,18.6,72.6
4-year,Private not-for-profit,200,31.7,72.6
4-year,Public,17248,25.8,72.5
4-year,Private for-profit,474,27.6,72.5
4-year,Private for-profit,3167,18.6,72.5
4-year,Private for-profit,463,38.7,72.5
4-year,Private not-for-profit,3425,30,72.4
4-year,Private not-for-profit,449,26.2,72.4
4-year,Private not-for-profit,16039,23.8,72.4
2-year,Private for-profit,614,45.2,72.4
4-year,Public,3057,23.8,72.4
4-year,Public,4288,22.2,72.4
4-year,Private not-for-profit,511,18.8,72.4
4-year,Public,10533,20.2,72.4
4-year,Public,66298,21,72.4
4-year,Private not-for-profit,11380,22.8,72.3
4-year,Private not-for-profit,189,19.5,72.3
2-year,Private for-profit,768,51.5,72.2
4-year,Private for-profit,738,51.3,72.2
2-year,Public,1179,24.5,72.2
4-year,Public,14263,27.2,72.2
4-year,Private not-for-profit,612,36,72.1
4-year,Private not-for-profit,5156,27.3,72.1
4-year,Public,6708,27.7,72
4-year,Private for-profit,714,37.2,72
4-year,Private not-for-profit,2887,19.7,71.9
4-year,Public,29763,23.1,71.9
2-year,Public,10206,23.3,71.9
4-year,Public,11235,23,71.9
4-year,Public,11085,20.2,71.9
4-year,Private not-for-profit,1253,22.2,71.9
4-year,Private not-for-profit,2608,21.4,71.9
4-year,Private not-for-profit,12640,29.9,71.9
4-year,Public,31820,22.4,71.8
4-year,Public,15113,24.3,71.8
4-year,Private for-profit,131,9,71.8
4-year,Public,18427,19.3,71.7
4-year,Public,6127,18.1,71.7
4-year,Public,2699,25.5,71.7
4-year,Public,31100,26.3,71.7
4-year,Private not-for-profit,1035,15.9,71.7
4-year,Private not-for-profit,2729,20.2,71.6
4-year,Private not-for-profit,3083,20.6,71.6
2-year,Public,13509,25.1,71.6
4-year,Private for-profit,738,40.7,71.5
4-year,Private for-profit,468,44.4,71.5
4-year,Private not-for-profit,6499,20.5,71.5
4-year,Private not-for-profit,301,20,71.5
4-year,Private not-for-profit,224,17.8,71.5
4-year,Public,42180,24.3,71.4
4-year,Private not-for-profit,1043,27.2,71.4
4-year,Private not-for-profit,667,18.2,71.3
4-year,Private for-profit,5640,17.9,71.3
4-year,Public,10158,24.9,71.3
4-year,Public,3394,19.8,71.3
4-year,Private not-for-profit,915,19.7,71.3
2-year,Private for-profit,383,41.2,71.3
2-year,Public,3894,27.4,71.3
2-year,Public,6195,15.5,71.3
4-year,Public,3660,14.7,71.2
2-year,Private not-for-profit,316,13,71.2
4-year,Public,6377,17.7,71.2
4-year,Private for-profit,3078,15.5,71.2
2-year,Public,4859,19.7,71.2
4-year,Private not-for-profit,1439,26.9,71.1
4-year,Public,3016,12.3,71.1
4-year,Private not-for-profit,2629,17.6,71.1
2-year,Public,4379,22.1,71.1
2-year,Public,2695,12,71.1
4-year,Private for-profit,751,18.8,71.1
4-year,Private not-for-profit,2141,19,71.1
4-year,Private not-for-profit,554,24.1,71
4-year,Private not-for-profit,1700,26.5,71
4-year,Private not-for-profit,693,19.1,71
2-year,Private for-profit,233,12.6,70.9
4-year,Public,2987,14.5,70.9
2-year,Public,6915,13.5,70.8
4-year,Private not-for-profit,103,15.7,70.8
4-year,Public,6893,20.4,70.8
2-year,Public,3739,16.8,70.8
4-year,Public,7013,16.9,70.8
2-year,Public,6051,23.1,70.8
4-year,Private not-for-profit,1104,22.1,70.7
4-year,Public,5015,16.1,70.7
4-year,Private for-profit,777,18.6,70.7
4-year,Public,2857,6.2,70.7
4-year,Private not-for-profit,806,18.6,70.6
4-year,Private not-for-profit,7836,25.2,70.6
2-year,Public,5492,13,70.6
4-year,Public,2858,11.3,70.6
4-year,Public,14558,20.7,70.6
4-year,Public,2667,20.5,70.6
4-year,Public,5729,20.8,70.5
2-year,Public,1651,18.5,70.5
4-year,Public,17904,16.5,70.5
4-year,Public,24868,20.1,70.5
4-year,Public,26278,27.3,70.4
4-year,Public,4187,15,70.4
2-year,Public,5177,17.3,70.4
2-year,Private not-for-profit,174,64.1,70.4
2-year,Private for-profit,368,32.7,70.3
2-year,Public,7180,20,70.3
4-year,Public,22621,17.4,70.3
4-year,Private not-for-profit,856,21,70.3
2-year,Public,3579,26.5,70.2
4-year,Private not-for-profit,765,9.4,70.2
2-year,Public,10470,11.7,70.2
4-year,Private for-profit,393,24.3,70.2
4-year,Private not-for-profit,4419,24.3,70.2
4-year,Private not-for-profit,2170,16.7,70.1
2-year,Public,2058,24.8,70.1
2-year,Public,2441,21.9,70.1
4-year,Private not-for-profit,1091,18.9,70.1
4-year,Private not-for-profit,924,11.3,70.1
4-year,Private not-for-profit,1281,22.4,70
4-year,Private not-for-profit,1217,20.4,70
2-year,Public,4784,13.8,70
4-year,Private not-for-profit,8825,21.8,70
4-year,Public,4602,9.8,70
4-year,Private not-for-profit,1544,15.2,70
2-year,Public,1828,26.3,69.9
4-year,Private not-for-profit,2129,19.2,69.9
4-year,Public,5732,16.5,69.9
2-year,Public,1546,25.9,69.9
4-year,Private not-for-profit,886,23.7,69.9
4-year,Private not-for-profit,870,20,69.8
4-year,Private not-for-profit,1606,8.8,69.8
2-year,Public,3966,20,69.8
4-year,Public,9718,17.4,69.8
4-year,Private not-for-profit,651,18.1,69.8
4-year,Public,9959,16.8,69.8
4-year,Private not-for-profit,1117,16.3,69.8
2-year,Private for-profit,1678,28.2,69.8
4-year,Private not-for-profit,2036,27.2,69.7
4-year,Public,3457,21.5,69.7
4-year,Public,14499,22.8,69.6
4-year,Private not-for-profit,5582,21.8,69.6
2-year,Public,4368,21.7,69.6
2-year,Public,8376,19.4,69.6
2-year,Public,1530,26,69.5
2-year,Public,7976,15.8,69.5
4-year,Public,4076,21.3,69.5
4-year,Public,2361,28.8,69.4
2-year,Public,2799,12.7,69.3
2-year,Private for-profit,552,55.5,69.3
4-year,Private not-for-profit,186,19.1,69.2
4-year,Public,19026,18.7,69.2
2-year,Public,725,38.3,69.2
4-year,Public,11418,18.3,69.1
4-year,Public,9540,19.3,69.1
4-year,Private not-for-profit,1095,19.6,69.1
4-year,Public,4304,21.2,69.1
4-year,Private for-profit,251,41,69
2-year,Public,6029,18.5,69
4-year,Private not-for-profit,1488,18.7,69
4-year,Private not-for-profit,27692,17.9,69
2-year,Public,8330,18.8,69
4-year,Private for-profit,406,14.8,68.9
4-year,Private not-for-profit,2714,21.1,68.9
4-year,Private not-for-profit,2524,21.3,68.9
4-year,Private not-for-profit,3246,23.4,68.9
2-year,Public,11332,16.5,68.9
2-year,Public,6574,12.4,68.9
4-year,Private not-for-profit,543,18.8,68.9
4-year,Private not-for-profit,4825,23.6,68.9
2-year,Public,2328,21.8,68.8
4-year,Public,4340,19.4,68.8
